Title,Location,Currency,Price,Serviced,Newly Built,Furnished,Bedrooms,Bathrooms,Toilets
Land,Otunba Jobi Fele Road Alausa Ikeja Alausa Ikeja Lagos,₦,"780,000,000",0,0,0,0 beds,0 baths,0 Toilets
Lovely 7 Bedroom Duplex,Allen Avenue Ikeja Lagos,₦,"100,000,000",0,0,0,0 beds,0 baths,0 Toilets
4 Bedroom Terrace Duplex,Adeniyi Jones Ikeja Lagos,₦,"150,000,000",1,1,0,4 beds,0 baths,0 Toilets
A Tastefully Brand New 5 Bedroom Detached,Ikeja Gra Ikeja Lagos,₦,"250,000,000",0,1,0,5 beds,5 baths,6 Toilets
4 Bedrooms Semi Detached Duplex,Within A Restricted Estate At Alausa Alausa Ikeja Lagos,₦,"90,000,000",0,0,0,4 beds,4 baths,4 Toilets
3 Bedroom Apartment,Close To Maryland Ikeja Gra Ikeja Lagos,₦,"65,000,000",0,1,1,0 beds,0 baths,0 Toilets
4 Bedroom Terrace Duplex With A Room Bq,"Awuse Estate Opebi Ikeja, Lagos State Opebi Ikeja Lagos",₦,"100,000,000",0,0,0,0 beds,0 baths,0 Toilets
"Fully Furnished 6 & 3 Bed Duplexes, 2 Bed Apartment With Swimming Pool",Ajao Estate By Chivita Airport Road(ikeja) Ikeja Lagos,₦,"180,000,000",0,0,0, beds, baths, Toilets
Newly Built En Suite Luxury 3 Bedroom Flat With A Bq,Ikeja Gra Ikeja Gra Ikeja Lagos,₦,"90,000,000",0,1,0,3 beds,3 baths,4 Toilets
Exquisitely Finished 5bedroom Detached,Ikeja Gra Ikeja Lagos,₦,"230,000,000",0,0,0,0 beds,0 baths,0 Toilets
Land,Off Kusiratu Abiola Oregun Ikeja Lagos,₦,"15,000,000/sqm",0,0,0,0 beds,0 baths,0 Toilets
2 Acres Of Virgin Land,Ikeja Lagos,₦,"150,000,000",0,0,0,2 beds,0 baths,0 Toilets
Newly Built 7 Units Of 3 Bedroom Flat. For Residential Or Commerical Purposes,"In A Nice Environment Off Allen Avenue Ikeja, Lagos. Allen Avenue Ikeja Lagos",₦,"550,000,000",0,0,0,3 beds,4 baths,4 Toilets
A 5 Bedroom Detached Duplex,Ikeja Gra Ikeja Lagos,₦,"500,000,000",0,0,0,5 beds,5 baths,6 Toilets
2 No's Of 5 Bedroom Semi Detached Duplex With Good Location,Ikeja Gra Ikeja Lagos,₦,"205,000,000",0,0,0,10 beds,10 baths,10 Toilets
2 & 3 Bedroom Apartment,Obafemi Awolowo Way Ikeja Lagos,₦,"55,000,000",0,0,0,2 beds,2 baths,2 Toilets
2 Storey Block Of 6 Flats,Off Salvation Road Opebi Ikeja Lagos,₦,"185,000",0,0,0,3 beds, baths, Toilets
A Bare Plot Of Land Measuring 1167sqm,Ikeja Gra Ikeja Gra Ikeja Lagos,₦,"500,000,000",0,0,0,0 beds,0 baths,0 Toilets
Parcel Of Land Approx 320sqm For Sales In Serene Environment,Oregun Ikeja Lagos,₦,"25,000,000/year",0,0,0, beds, baths, Toilets
5 Bedroom Fully Detached Duplex With A Room Bq,Oduduwa Crescent Ikeja Gra Ikeja Lagos,₦,"250,000,000",0,1,0,5 beds,5 baths,6 Toilets
4bedroom Maisonette,"Opposite Lagos State Police Command,gra Ikeja. Ikeja Gra Ikeja Lagos",₦,"70,000,000",0,0,0,4 beds,0 baths,0 Toilets
4 Bedroom Terrace Duplex,Awuse Estate Opebi Ikeja Lagos Opebi Ikeja Lagos,₦,"90,000,000",0,0,0,0 beds,0 baths,0 Toilets
Brand New 4 Bedroom Detached Duplex With Bq,Ikeja Gra Ikeja Lagos,₦,"255,000,000",1,1,0,4 beds,4 baths,5 Toilets
4 Bedroom Terraced Duplex,Allen Avenue Ikeja Lagos,₦,"150,000,000",0,0,0, beds, baths, Toilets
1 Storey Building Of 21 Rooms,Oba Akran Ikeja Lagos,₦,"150,000,000",0,0,0,0 beds,0 baths,0 Toilets
5 Bedroom Detached House With 2 Room Bq,Opebi Ikeja Lagos,₦,"250,000,000",0,0,0,5 beds,5 baths,5 Toilets
Luxury 4 Bedroom Semi Detached Duplex,Adeniyi Jones Ikeja Lagos,₦,"140,000,000",0,0,1,4 beds,5 baths,5 Toilets
4 Bedroom Duplex,Alausa Ikeja Lagos,₦,"90,000,000/year",0,0,0,4 beds,4 baths,4 Toilets
5bedroooms Duplex,Ikeja Gra Ikeja Lagos,₦,"280,000,000",0,1,0,5 beds,5 baths,6 Toilets
Land,Magodo Ph1 Ikeja Lagos,₦,"70,000,000",0,0,0,0 beds,0 baths,0 Toilets
Newly Built 5bedroom Detach Duplex,Ikeja Gra Ikeja Lagos,₦,"300,000,000",0,0,0,5 beds,0 baths,0 Toilets
Fantastic 4 Bedroom House Measuring 1445.906 Sqm,No 30 Airport Road Airport Road(ikeja) Ikeja Lagos,₦,"750,000,000",0,0,0,4 beds,5 baths,5 Toilets
Functioning Construction Company,Ikeja Ikeja Lagos,$,"20,000,000",0,0,0,0 beds,0 baths,0 Toilets
20000 Sq Mtr Land With Structure,Isaac John Ikeja Gra Ikeja Lagos,₦,"900,000,000",0,0,0,0 beds,0 baths,0 Toilets
Land,Channles Tv Hq Alausa Ikeja Lagos,₦,"25,000,000",0,0,0,0 beds,0 baths,0 Toilets
14106.827 Sqm Of Land,Obafemi Awolowo Way Ikeja Lagos,₦,"3,600,000,000",0,0,0,0 beds,0 baths,0 Toilets
5 Bedrooms Duplex And Two Bedrooms Boys Quarter,Opebi Ikeja Lagos,₦,"200,000,000",0,0,0,5 beds,0 baths,0 Toilets
Newly Built Luxuriously Finished 2 Units 4 Bedroom Semi Detached Duplexes,Ikeja Gra Ikeja Lagos,₦,"270,000,000",0,1,1,4 beds,4 baths,5 Toilets
An Electrical Factory,Ikeja Lagos,₦,"3,500,000,000",0,0,0,0 beds,0 baths,0 Toilets
