Title,Location,Currency,Price,Serviced,Newly Built,Furnished,Bedrooms,Bathrooms,Toilets
5 Bedroom Detached House + Bq + Pool Etc,Banana Island Estate Banana Island Ikoyi Lagos,₦,"950,000,000",1,0,0,5 beds,5 baths,6 Toilets
Exquisitely Finished 5 Bedroom Detached House With Cinema & Private Elevator,Banana Island Ikoyi Lagos,₦,"900,000,000",0,1,0,6 beds,6 baths,7 Toilets
Super Luxury & Modern 3 Bedroom Flat With Bq,Gerald Road Ikoyi Lagos,₦,"160,000,000",1,0,0,3 beds,3 baths,4 Toilets
Luxury Built 5 Bedroom Fully Detached Duplex With 2room Bq On 600m² Land,"Hanour Point Estate, Ikoyi Lagos",₦,"900,000,000",0,0,0,5 beds,5 baths,6 Toilets
6bedroom Detached Mansion,Ikoyi Lagos,₦,"2,000,000,000",0,0,0,0 beds,0 baths,0 Toilets
Furnished Two Bedroom Flat, Banana Island Ikoyi Lagos,₦,"150,000,000",1,0,1,2 beds,2 baths,3 Toilets
Brand New 5 Bedroom Detached House With Private Jetty,Ikoyi Lagos,₦,"600,000,000",0,1,0,5 beds,5 baths,6 Toilets
Luxury 6 Bedroom Fully Detached Duplex,In A Prestigious Neighborhood Ikoyi Lagos,$,"1,500,000",0,1,0,6 beds,6 baths,7 Toilets
Luxury 4 Bedroom Terrace House + Bq,Parkview Estate Ikoyi Lagos,₦,"200,000,000",0,0,0,0 beds,0 baths,0 Toilets
Brand New Exquisitely Finished 5 Bedroom Semi Detached Duplex,Banana Island Ikoyi Lagos,₦,"500,000,000",1,1,0,5 beds,5 baths,6 Toilets
Newly Built 4 Bedroom Maisonette With Bq,Osborne Foreshore Estate Ikoyi Lagos,₦,"160,000,000",1,1,0,4 beds,4 baths,5 Toilets
"Waterfront Land Measuring 1,691m²",Mojisola Onikoyi Estate Ikoyi Lagos,₦,"1,500,000,000",0,0,0, beds, baths, Toilets
