Title,Location,Currency,Price,Serviced,Newly Built,Furnished,Bedrooms,Bathrooms,Toilets
5 Bedroom Fully Detached,"Oniru, Victoria Island (vi), Lagos Oniru Victoria Island Lagos",₦,"300,000,000",0,1,0,5 beds,5 baths,6 Toilets
4 Bedrooms Terrace + 1 Room Bq,Off Oba's Palace Road Oniru Victoria Island Lagos,₦,"90,000,000",0,0,0,4 beds,4 baths,5 Toilets
4 Bedroom Terrace With Bq,Oniru Victoria Island Lagos,₦,"120,000,000",1,0,0,4 beds,0 baths,0 Toilets
2000sqm Dry Land With 2 Buildings,Near Akin Adesola Victoria Island Lagos,₦,"1,600,000,000",0,0,0,0 beds,0 baths,0 Toilets
Modern 7 Floor Hospital Building,Oniru Victoria Island Lagos,₦,"10,000,000,000",0,0,0,0 beds,0 baths,0 Toilets
Hotel In A Serene Neighborhood,Ajose Adeokun Victoria Island Lagos,₦,"1,300,000,000",0,0,0,0 beds,0 baths,0 Toilets
Land Measuring 1350m² Residential Land Plus 2 Units Of Re Developable Detached Houses,Victoria Island Lagos,₦,"70,000,000",0,0,0,0 beds,0 baths,0 Toilets
Available Land,Victoria Island Lagos,₦,"1,500,000,000",0,0,0,0 beds,0 baths,0 Toilets
Newly Built 5 Bedroom Fully Detached Duplex,"Oniru, Victoria Island (vi), Lagos Oniru Victoria Island Lagos",₦,"300,000,000",0,1,0,5 beds,5 baths,6 Toilets
4 Bedroom Serviced Terrace Duplex With A Room Bq,Victoria Island Lagos,₦,"155,000,000",0,0,0,4 beds,0 baths,0 Toilets
4 Bedroom Detached Duplex With A Room Bq,Oniru Victoria Island Lagos,₦,"210,000,000",1,1,0,4 beds,4 baths,5 Toilets
5 Bedroom Detached Duplex Available,Festival Road Victoria Island Lagos,₦,"500,000,000",0,0,0, beds, baths, Toilets
3 Bedroom Ultra Modern Serviced Apartment,Victoria Island Lagos,₦,"350,000,000",1,0,0,3 beds,3 baths,4 Toilets
Furnished 2 Bedroom Serviced Apartment,Oniru Victoria Island Lagos,₦,"170,000,000",1,0,1,2 beds,2 baths,2 Toilets
Office Space,Victoria Island Lagos,₦,"9,000,000,000",0,0,0,0 beds,0 baths,0 Toilets
Land,Ahmadu Bello Way Ahmadu Bello Way Victoria Island Lagos,$,"6,000,000",0,0,0,0 beds,0 baths,0 Toilets
4 Bedroom Detached Duplex,Oniru Victoria Island Lagos,₦,"190,000,000",0,1,0,4 beds,4 baths,5 Toilets
3 Bedroom Massionette With Bq,Eighteen65 Residences Victoria Island Extension Victoria Island Lagos,₦,"180,000,000",0,0,0,3 beds,3 baths,4 Toilets
"Well Crafted 1,2,3 Bedroom Apartment",Few Minutes From Oriental Hotels Akin Adesola Victoria Island Lagos,₦,"70,000,000",1,1,0,1 beds,1 baths,2 Toilets
